BAPIAAHDR									
CO_AREA	DOC_NO	POSTGDATE	DOCDATE	DOC_HDR_TX	USERNAME				
1000	1	20220503	20220328	ปป. DL 28.03.2565	174004				
									
BAPIAAITM									
CO_AREA	DOC_NO	ITEMNO_ACC	SEND_CCTR	ACTTYPE	ACTVTY_QTY	REC_WBS_EL	REC_ORDER	PERSON_NO	SEG_TEXT
1000	1	71	C495100	DL01	5	I/63.07.04.002.63.01.305		2583033	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	72	C495100	DL01	5	I/63.09.04.001.63.14.305		2583033	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	73	C49A100	DL02	15	I/63.09.04.001.63.12.304		2445704	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	74	C49A100	DL01	14	I/63.09.04.001.63.16.304		2529336	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	75	C49A100	DL01	7	I/64.09.04.001.64.03.304		2529336	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	76	C49A100	DL01	21	I/64.09.04.001.64.03.304		2549516	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	77	C49A200	DL01	21	I/63.06.04.002.63.02.304			ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	78	C49A200	DL02	15	I/63.09.04.001.63.22.305		2453416	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	79	C49A200	DL01	7	I/63.06.04.002.63.02.304		2549904	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	80	C49A300	DL01	21	I/63.07.04.001.63.01.304		2354228	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
1000	1	81	C49A300	DL02	15	I/62.09.04.001.62.28.305		2367206	ปป. ค่าแรงทางตรงวันที่ 28.03.2565
