Asset Class	Company code	Number of similar assets	Asset Number	Asset Sub Number	Asset main no. text	Description	Description2	Quantity	Unit     	Serial No.   	Inventory Note	Inventory number	Capitalize Date	Ordinary Depreciation date	Cost center	Investment Reason	Asset Super Number	WBS element	Dep key	Use full life	Scrap value	Evaluation group 1	Evaluation group 2	Evaluation group 3	Evaluation group 4	Evaluation group 5	Room	License plate number	Type name
10602	MWA				อาคารสุทธิอุทกากร	ชุดเครื่องรับ-ส่งสัญญาณภาพ HDMI (กล่อง-กล่อง) 	รุ่น HEX100HDVGA-SET ยี่ห้อ Blustream	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ชุดเครื่องรับ-ส่งสัญญาณภาพ HDMI (กล่อง-กล่อง) 	รุ่น HEX100HDVGA-SET ยี่ห้อ Blustream	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ชุดเครื่องรับ-ส่งสัญญาณภาพ HDMI (กล่อง-กล่อง) 	รุ่น HEX100HDVGA-SET ยี่ห้อ Blustream	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	กล้องโดม PTZ รุ่น VC-A52S ยี่ห้อ LUMENS		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	กล้องโดม PTZ รุ่น VC-A52S ยี่ห้อ LUMENS		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	อุปกรณ์ควบคุมกล้อง รุ่น VS-K20 ยี่ห้อ LUMENS		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	จอแอลอีดีทีวีขนาด 32 นิ้ว (ห้องควบคุม) 	รุ่น UA32T4300 ยี่ห้อ Sumsung	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	จอแอลอีดีทีวีขนาด 32 นิ้ว (ห้องควบคุม) 	รุ่น UA32T4300 ยี่ห้อ Sumsung	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ลำโพงหน้าแบบ steerable beam array แบบที่ 1 	รุ่น QFLEX24 ยี่ห้อ TANNOY	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ลำโพงหน้าแบบ steerable beam array แบบที่ 1 	รุ่น QFLEX24 ยี่ห้อ TANNOY	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ลำโพงมมอนิเตอร์ในห้องควบคุม รุ่น HS51 	ยี่ห้อ YAMAHA	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ลำโพงมมอนิเตอร์ในห้องควบคุม รุ่น HS51 	ยี่ห้อ YAMAHA	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	เครื่องขยายสัญญาณเสียง 4 ช่องสัญญาณ 	รุ่น MP-A40V ยี่ห้อ QSC	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	เครื่องขยายสัญญาณเสียง 4 ช่องสัญญาณ 	รุ่น MP-A40V ยี่ห้อ QSC	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	เครื่องผสมสัญญาณเสียง 24 ช่องสัญญาณ	แบบดิจิตอล รุ่น X32 ยี่ห้อ BEHRINGER	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	เครื่องผสมสัญญาณเสียง 16 ช่องสัญญาณ	แบบดิจิตอล รุ่น X33 ยี่ห้อ BEHRINGER	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	เครื่องปรับแต่งเสียงแบบดิจิตอล รุ่น SOLUS NX4x4	ยี่ห้อ SYMETRIX	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	ตู้เก็บอุปกรณ์		1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
10602	MWA				อาคารสุทธิอุทกากร	กล่อง Stage box 16 อินพุท รุ่น S16 	ยี่ห้อ BEHRINGER	1			3300053250	จล.8/2564	11092023		1212203	IF		C64204020001				1				10807			
